12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,doubleAces,dragonTakedowns,earliestBaron,earliestDragonTakedown,earliestElderDragon,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadAfkTeammate,hadOpenNexus,highestChampionDamage,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerKillsEarlyJungle,junglerTakedownsNearDamagedEpicMonster,kda,killParticipation,killsNearEnemyTurret,killsOnLanersEarlyJungleAsJungler,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,laneMinionsFirst10Minutes,legendaryCount,lostAnInhibitor,maxKillDeficit,moreEnemyJungleThanOpponent,mostWardsDestroyedOneSweeper,multiKillOneSpell,multikills,multikillsAfterAggressiveFlash,mythicItemUsed,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,poroExplosions,riftHeraldTakedowns,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,stealthWardsPlaced,survivedSingleDigitHpCount,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirst25Minutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,unseenRecalls,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,controlWardTimeCoverageInRiverOrEnemyHalf,earlyLaningPhaseGoldExpAdvantage,laningPhaseGoldExpAdvantage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,visionScoreAdvantageLaneOpponent,teleportTakedowns,highestCrowdControlScore,shortestTimeToAceFromFirstTakedown,highestWardKills,id_game,summonerId,baronBuffGoldAdvantageOverThreshold,fastestLegendary,thirdInhibitorDestroyedTime,completeSupportQuestInTime,dodgeSkillShotsSmallWindow,epicMonsterStolenWithoutSmite,kTurretsDestroyedBeforePlatesFall,landSkillShotsEarlyGame,multiTurretRiftHeraldCount,quickCleanse,quickFirstTurret,quickSoloKills,soloTurretsLategame,threeWardsOneSweeperCount,fasterSupportQuestCompletion,mejaisFullStackInTime,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killedChampTookFullTeamDamageSurvived,knockEnemyIntoTeamAndKill,pickKillWithAlly,saveAllyFromDeath,survivedThreeImmobilizesInFight,tookLargeDamageSurvived,takedownsFirstXMinutes,killingSprees,playedChampSelectPosition
0,122,0,4.0,1,0,675,0,0,5000.545379756087,0.286656337066173,0,8,0,1,1560.2841529974705,1478.2013332494626,1856.419489862145,0.0,0,0,36,1.0,0,0,0,880.4493955711463,0,1,1991.5562691055445,0.0,556.2500731199731,0.0,0,1.0,0,0,0.0,0.0,2,3.625,1.0,6,0.0,0.0,0,0,0,67,0,0,7,-117.25000005960464,0.0,0,5,0,6673.0,0,5,0,1,0,0,0,1,96,114,0,0,11,10,0,0,29,0,0,24.0,0,0,1,0.4682564626949343,1,2,0,4,10,0,0,0.5964355357900115,1,1,0,,,,,,,,,,,LA2_1140394943,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,187,0,95.50000011920929,1,0,0,0,6,5048.603901367924,0.31578676748053514,0,7,0,5,1560.2841529974705,475.94499748632103,1856.419489862145,0.0,0,0,7,8.800000011920929,1,3,0,880.4493955711463,0,1,1991.5562691055445,,332.11761486699766,0.0,0,,2,0,51.750000059604645,0.0,0,0.5714285714285714,0.13793103448275862,0,0.0,,0,0,1,5,0,0,7,-65.5,0.0,0,0,0,6630.0,0,0,0,1,0,0,2,3,68,40,0,0,0,2,0,1,4,0,0,4.0,0,0,1,0.06504064749576342,1,2,2,2,10,0,0,1.0209036695632192,3,2,0,0.5902166356422953,-0.21195536851882935,-0.03770792484283447,54.54999998211861,2.0,1.6373834609985352,,,,,LA2_1140394943,500-z1qVQ8GwiEHubwYokUDR5dhy5OSePjRTNBdnm3OK6w,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,204,0,0.0,1,0,375,0,3,4181.492919223497,0.14306464312157888,0,5,0,2,1560.2841529974705,846.7140003871699,1856.419489862145,0.0,0,0,13,0.0,0,0,0,880.4493955711463,0,1,1991.5562691055445,0.0,359.7281868932635,0.0,0,,0,0,0.0,0.0,2,3.2,0.5517241379310345,0,0.0,0.0,0,2,0,49,0,0,7,-117.25000005960464,0.0,0,1,0,6655.0,0,2,0,1,0,0,0,0,48,28,0,0,0,3,0,0,16,0,0,14.0,0,0,1,0.2461870502422607,1,2,1,7,10,0,0,0.5441486330419766,1,1,0,0.41615586834747453,,,,,,1.0,,,,LA2_1140394943,0nPz7ri619KkdYlJiPSnsVS35NgxoQtJoWH_2wcjYRSLRA,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,182,0,6.9000000059604645,1,0,750,1,4,5082.719181490295,0.13688366602772783,0,5,0,4,1560.2841529974705,846.7140003871699,1856.419489862145,998.2545776367188,0,1,0,18.80000004172325,0,0,0,880.4493955711463,0,1,1991.5562691055445,0.0,445.9532428683952,0.0,0,,0,1,4.0,0.0,1,3.8,0.6551724137931034,2,0.0,0.0,0,0,0,53,0,0,7,-113.25000005960464,0.0,0,2,1,6671.0,0,2,0,1,0,0,0,2,230,114,0,0,2,4,0,0,19,0,0,14.0,0,1,1,0.1752065128945046,1,2,0,5,10,0,0,1.4326618938085536,4,1,0,0.01348230860144961,-0.24361646175384521,-0.13134241104125977,2.0,4.0,3.7839622497558594,,,,,LA2_1140394943,Vo0HO5GXOvFmiVtagkz8G1Wa8GIPcTwUNvXs-DxCl2zbLe4,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,86,0,0.0,1,0,0,0,4,611.4246730130764,0.11760858630398517,0,4,0,5,1560.2841529974705,475.94499748632103,1856.419489862145,4256.58056640625,0,0,34,0.0,0,0,0,880.4493955711463,0,1,1991.5562691055445,0.0,260.0536929506925,0.0,0,,0,0,0.0,0.0,1,4.25,0.5862068965517241,0,0.0,0.0,0,0,0,16,0,0,7,-117.25000005960464,0.0,0,0,0,3190.0,0,0,0,1,0,0,0,0,68,73,0,0,0,23,1,0,17,0,0,14.0,0,0,1,0.045309326672536974,1,2,0,5,10,0,0,1.9699199014385411,6,5,2,0.25043324993913546,-0.29076898097991943,-0.26294583082199097,19.0,1.0,1.1956015825271606,2.0,,,,LA2_1140394943,kJbpdQ8IIzoyt6aOlvEZKzGkWeGts8cX_qHkOLn94fvK3_4,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,185,0,0.0,0,0,0,0,1,2485.221097204007,0.26137020903772934,0,7,0,0,,,,0.0,0,0,29,1.2000000178813934,0,0,0,,0,0,1991.5562691055445,0.0,295.6869540501252,0.0,0,,0,0,0.0,0.0,0,1.4285714285714286,0.2631578947368421,1,0.0,1.0,0,2,0,41,0,0,0,-121.00000005960464,0.0,0,0,0,6662.0,0,1,0,0,0,0,1,0,51,38,0,0,1,7,1,0,10,0,0,8.0,0,0,0,0.1552719747292951,0,0,2,1,0,0,0,0.7336791022698296,0,0,0,,,,,,,,1.0,22.599701381767545,,LA2_1140394943,JZiyWPB75MB-GmjfsyJj7na3IvvGHYvXTqAyWMrjDYKHdPo,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,102,0,98.00000014901161,0,0,0,0,0,3945.004810749651,0.2570782765779805,0,13,0,1,,1170.3777759573313,,0.0,0,0,0,0.0,0,0,0,,0,0,1991.5562691055445,,297.2924627606253,0.0,0,,2,1,52.000000059604645,0.0,0,0.8461538461538461,0.2894736842105263,0,1.0,,0,0,0,1,0,0,0,-69.0,0.0,0,0,0,6691.0,0,0,0,0,0,0,0,2,39,24,0,0,1,10,0,0,11,0,0,11.0,0,0,0,0.12985219250576097,0,0,0,0,0,0,0,0.6234970170152718,3,1,1,,0.0,0.0,7.25,1.0,0.6107305288314819,2.0,,22.599701381767545,,LA2_1140394943,0JqvGFzEv7Nzbk5Wbuue4QLCfNB4pBdFwd3S4t_UpNoYcw,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,322,0,10.400000005960464,0,0,1850,0,1,5513.78988524981,0.20823620687341687,0,6,0,0,,,,0.0,0,0,0,0.0,0,0,0,,0,0,1991.5562691055445,0.0,514.4254679206883,0.0,0,,0,0,0.0,0.0,0,3.0,0.47368421052631576,3,0.0,0.0,0,0,0,67,0,0,0,-121.00000005960464,0.0,0,2,0,4644.0,0,2,0,0,0,0,0,2,58,46,0,0,5,6,0,0,18,0,0,13.0,0,0,0,0.34154776248166463,0,0,0,1,0,0,0,1.010110842652845,9,2,0,0.13232868593640706,,,,,,16.0,,,1.0,LA2_1140394943,E9zLP4KLLiP3VCwC6VrcwflnLAW1TjgSFx7AxucIDu3h3Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,507,0,12.000000029802322,0,0,300,0,0,4774.056204181557,0.17255451848711825,0,7,0,0,,,,0.0,0,0,0,0.0,0,0,0,,0,0,1991.5562691055445,0.0,344.64131833607007,0.0,0,,0,0,0.0,0.0,0,1.2857142857142858,0.23684210526315788,2,0.0,0.0,0,0,0,83,0,0,0,-121.00000005960464,0.0,0,2,0,3078.0,0,0,0,0,0,0,0,0,31,22,0,0,1,4,0,0,9,1,0,8.0,0,0,0,0.14902462694468072,0,0,1,1,0,0,0,0.37861422062498723,2,1,0,,0.0,0.0,47.400000005960464,1.0,0.2642732560634613,,,,,LA2_1140394943,wGl2Ug6ow5pxsAuQB_OhVLIHnl3asaDbLmnCoZSs27TCLg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,212,0,0.0,1,0,0,0,1,1968.8084113917662,0.10076078902375502,0,5,0,1,,1478.2013332494626,,1342.2127685546875,0,0,22,0.4000000059604645,0,0,0,,0,0,1991.5562691055445,0.0,258.96687800171185,0.0,0,,0,0,0.0,0.0,0,2.2,0.2894736842105263,1,0.0,0.0,0,0,0,3,0,0,0,-121.00000005960464,0.0,0,0,0,6655.0,0,0,0,0,0,0,0,0,31,20,0,0,0,20,0,1,11,0,0,10.0,0,0,0,0.22430344333859856,0,0,1,1,0,0,0,1.6476390173413096,8,4,1,,0.0,0.0,26.400000005960464,1.0,0.8363990187644958,,,,,LA2_1140394943,5H-nLnMO35E9av-xlgtK5SnJWn8xQcFl1thnzNWcs44uNa0,,,,,,,,,,,,,,,,,,,,,,,,,,,
