index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,n6qXZTmsD6iU_VaO8xkI2ek27-iYraJLadmIMSsUMNSM,887,False,5002,5008,5005,8400,8000,8010,9111,8473,8453,"[55, 35, 92, 875, 235]",2,2614,"['Fighter', 'Assassin']",Mana,620,109,330,40.0,340,39,5.2,32,2.05,150,8.5,0.9,7.5,0.7,0,0,63,3.0,2.25,0.69,7,4,5,5
1,100,qKo7ELyKE21IfDoOK89nyxBKeJB1aq2CgKl0sGwn-gzlgco5ob8sW70lKQ,234,False,5002,5008,5005,8100,8000,8005,9111,8139,8135,"[55, 35, 92, 875, 235]",4,19977,"['Assassin', 'Fighter']",None,630,109,10000,0.0,345,34,5.2,32,2.05,200,7.0,0.7,0.0,0.0,0,0,57,3.5,2.5,0.658,6,4,2,5
2,100,sXUcOPIBHXc8aD8HgI1nAIie4EVYIpafCTnU5iuoNpXF314,1,False,5003,5008,5008,8300,8100,8112,8126,8321,8347,"[55, 35, 92, 875, 235]",7,85334,['Mage'],Mana,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,0,0,50,2.65,1.36,0.579,2,3,10,6
3,100,NBNtcSvz_fGmy1HQcyY24nyBdkGZrRqwNiTVruLdiSYsiNg,51,False,5002,5008,5005,8100,8000,8021,8009,8126,8135,"[55, 35, 92, 875, 235]",7,138900,['Marksman'],Mana,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,0,0,60,3.8,4.0,0.681,8,2,2,6
4,100,0XGd5LLLpJKI7xrRwRrJaVnhnpbGe6EoLdWhqEDVdZ5xHw,89,False,5001,5002,5007,8300,8400,8439,8463,8345,8347,"[55, 35, 92, 875, 235]",6,177905,"['Tank', 'Support']",Mana,646,101,302,40.0,335,47,4.8,32,2.05,125,8.5,0.85,6.0,0.8,0,0,60,3.0,2.9,0.625,4,8,3,4
5,200,rb3Fmuz85h7xCiFsJvZ0zxAyeWzeQazwN85JtFgL4q5NzdA,55,True,5003,5008,5008,8000,8100,8112,8143,9111,8014,"[887, 234, 1, 51, 89]",6,105822,"['Assassin', 'Mage']",None,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,0,0,58,3.2,2.74,0.658,4,3,9,8
6,200,ab_LKinF7ijRdm0joUBhN7ItVUWzeaGUNsTmi0hpgKxRRQ,35,True,5002,5008,5005,8000,8100,9923,8143,9104,8014,"[887, 234, 1, 51, 89]",7,465510,['Assassin'],Mana,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,7.15,0.45,0,0,63,3.0,3.0,0.694,8,4,6,9
7,200,7wQ2eeqFUy579yENNkRV5GJqNgsgGLwnfPQOlL0usxUdwA,92,True,5001,5008,5005,8100,8000,8010,9111,8126,8135,"[887, 234, 1, 51, 89]",5,38545,"['Fighter', 'Assassin']",None,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,0,0,64,3.0,3.5,0.625,8,5,1,8
8,200,RfEYaAJ6S8Bk5T9VtZzaDopWHWmmyykggxYg-TWj8uJgimo,875,True,5002,5008,5005,8400,8000,8010,9111,8444,8453,"[887, 234, 1, 51, 89]",7,150752,"['Fighter', 'Tank']",Grit,670,114,0,0.0,340,33,5.2,28,2.05,125,7.0,0.5,0.0,0.0,0,0,60,4.0,1.75,0.625,8,5,1,2
9,200,iLGOoTq8BnsyUmMNqBmSRWo4cxgYV4tYgWWjRPwLqOp0Sts,235,True,5002,5008,5005,8000,8300,8351,8304,8009,9104,"[887, 234, 1, 51, 89]",5,211985,"['Marksman', 'Support']",Mana,530,89,350,45.0,330,28,4.7,30,1.3,600,3.5,0.55,11.5,0.7,0,0,50,0.0,4.0,0.625,7,2,6,7
