index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,eZiF0V6VVzGedh1liFfn1qtxu1iYjGVc9in0Z60czce-oA,107,False,5003,5008,5005,8400,8000,8008,9111,8453,8444,"[54, 12, 103, 18, 876]",7,537872,"['Assassin', 'Fighter']",Ferocity,620,104,4,0.0,345,34,4.2,32,2.05,125,7.0,0.5,0.0,0.0,0,0,68,3.0,3.0,0.667,7,4,2,8
1,100,0lKN-A7iXi-1EXU6l8qhq-3vzWIPzA46echEzSFbCvxfKWw,78,False,5002,5008,5005,8200,8100,8128,8126,8234,8232,"[54, 12, 103, 18, 876]",6,33667,"['Tank', 'Fighter']",Mana,610,104,280,40.0,345,38,4.7,32,2.05,125,8.0,0.8,7.0,0.7,0,0,64,4.0,2.5,0.625,6,7,2,6
2,100,IwtgJKhvElQW1AbPiUHPB1LFO2C6qzUCNSRlmKv-SaZ6B_8VaRw7aEWukw,1,False,5003,5008,5008,8200,8100,8112,8126,8234,8237,"[54, 12, 103, 18, 876]",1,1549,['Mage'],Mana,560,102,418,25.0,335,19,4.7,30,1.3,625,5.5,0.55,8.0,0.8,0,0,50,2.65,1.36,0.579,2,3,10,6
3,100,Lhdml6StgmOzBAge_T7gkMJsaHr9SpUXPtClL2YeU4475jI,498,False,5002,5008,5005,8100,8000,8008,8009,8139,8135,"[54, 12, 103, 18, 876]",4,15176,['Marksman'],Mana,660,102,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,0,0,60,3.5,3.9,0.658,10,6,1,5
4,100,0izFoJqowf-yYLg5xIFqoqKpafohVBF8MYGfdQP0OzCIBQY,89,False,5003,5002,5007,8300,8400,8439,8463,8306,8345,"[54, 12, 103, 18, 876]",3,7251,"['Tank', 'Support']",Mana,646,101,302,40.0,335,47,4.8,32,2.05,125,8.5,0.85,6.0,0.8,0,0,60,3.0,2.9,0.625,4,8,3,4
5,200,3SRDuq6tnnvoCFLBu9ta6QqP3FLgi_xUYHauTRoSjUUPWw,54,True,5002,5008,5008,8300,8200,8229,8226,8345,8352,"[107, 78, 1, 498, 89]",7,52925,"['Tank', 'Fighter']",Mana,644,104,280,60.0,335,37,4.95,28,2.05,125,7.0,0.55,7.3,0.55,0,0,62,4.0,3.4,0.736,5,9,7,2
6,200,UbiByKV5Pky7-qNXB4y6tfB-v4Qzs3Ljdchnzerfbd0l,12,True,5002,5008,5008,8300,8400,8439,8463,8347,8306,"[107, 78, 1, 498, 89]",3,9069,"['Tank', 'Support']",Mana,685,120,350,40.0,330,47,4.7,32,2.05,125,8.5,0.85,8.5,0.8,0,0,62,3.75,2.125,0.625,6,9,5,7
7,200,Jwn3HDOXGCVc9R3bmSfvONGPSZAYZhEBskATk4ny_w9y5t8,103,True,5003,5008,5005,8200,8100,8112,8139,8226,8210,"[107, 78, 1, 498, 89]",3,12187,"['Mage', 'Assassin']",Mana,590,96,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.0,0.668,3,4,8,5
8,200,ar_FkJNj710lXMMsHzVzlVeSah5GDjVdYFHPP8GhTgGJoA,18,True,5002,5008,5005,8000,8100,9923,8139,9111,9104,"[107, 78, 1, 498, 89]",5,49274,"['Marksman', 'Assassin']",Mana,670,102,250,32.0,325,26,4.2,30,1.3,525,4.0,0.65,7.2,0.45,0,0,59,3.7,1.5,0.656,9,3,5,4
9,200,Ec0KmLDuPhTnjo4XyGauCy_i8K4o2LCCeSynHV-_vQNHJ-Q,876,True,5002,5008,5008,8200,8100,8128,8126,8234,8232,"[107, 78, 1, 498, 89]",7,44511,"['Fighter', 'Mage']",Mana,605,105,410,50.0,330,22,5.2,32,1.55,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,0,2,10,8
0,100,zbzte_Eu6VS2O6TKzZSW8gqdkuoNp1Nni7CjbKvJ9jmAdybYtBmiOfwX3g,75,False,5002,5008,5008,8400,8000,8021,9111,8429,8453,"[266, 5, 54, 202, 25]",5,25222,"['Fighter', 'Tank']",Mana,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,0,0,67,3.5,3.48,0.638,7,5,6,6
1,100,EV04-76YZNupDgWo7Udgklzay8OEaatH2JxNiEUOzblbK-M,48,False,5002,5008,5005,8300,8000,8008,9111,8304,8410,"[266, 5, 54, 202, 25]",7,142945,"['Fighter', 'Tank']",Mana,686,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,0,0,68,3.0,2.9,0.67,7,6,2,5
2,100,Lhdml6StgmOzBAge_T7gkMJsaHr9SpUXPtClL2YeU4475jI,517,False,5003,5008,5008,8300,8000,8010,8009,8345,8347,"[266, 5, 54, 202, 25]",5,42844,"['Mage', 'Assassin']",Mana,575,129,310,70.0,340,27,5.2,32,2.55,175,9.0,0.9,8.0,0.8,0,0,61,3.0,3.5,0.645,3,4,8,5
3,100,c2jU9K_dOOfBfsjOqLXfb61RgPg3qu4R3nd4JbMtvVu5Zrc,22,False,5002,5008,5005,8100,8000,8008,9111,8106,8126,"[266, 5, 54, 202, 25]",7,165455,"['Marksman', 'Support']",Mana,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,2.95,3.33,0.658,7,3,2,4
4,100,6zpG5tGbiNrmX29jB-afn7-9KHeS7q-Fs57VhEcb1CGANA,201,False,5003,5002,5007,8300,8400,8465,8463,8345,8410,"[266, 5, 54, 202, 25]",7,485967,"['Support', 'Tank']",Mana,610,112,311,45.0,335,47,5.2,32,2.05,125,8.5,1.0,6.0,0.8,0,0,55,3.2,3.5,0.644,3,9,4,3
5,200,ErmaQQzKS_ci3CIXV_F7w36xvLfNZNqvo7EtA2fJOaGH8c8,266,True,5002,5008,5005,8100,8000,8010,9111,8139,8135,"[75, 48, 517, 22, 201]",6,27896,"['Fighter', 'Tank']",Blood Well,650,114,0,0.0,345,38,4.45,32,2.05,175,3.0,1.0,0.0,0.0,0,0,60,5.0,2.5,0.651,8,4,3,4
6,200,8gKy5Q0RENPrbcSgc2Fa5pGjLJz5xzDcx7d4_mXK5vdUPKKm2oGTrM37Rg,5,True,5002,5008,5005,8300,8000,8010,9111,8304,8347,"[75, 48, 517, 22, 201]",4,18828,"['Fighter', 'Assassin']",Mana,640,106,274,55.0,345,35,4.7,32,2.05,175,8.0,0.7,7.25,0.45,0,0,63,3.0,3.5,0.645,8,6,3,2
