index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,5EYpPaR-245Uo_LfKyMfi-6JFeFbZOtqeK-niaztmEipnQ,19,False,5002,5008,5005,8100,8000,8008,9111,8139,8135,"[111, 145, 61, 56, 11]",4,15207,"['Fighter', 'Tank']",Mana,620,99,280,35.0,335,33,4.4,32,2.05,125,4.0,0.75,7.45,0.6,0,0,65,3.0,2.3,0.638,9,5,3,3
1,100,oxaqgv5byFjDERfhmDPCCtGKybd2ixas_OAS7sbRCHninA,268,False,5002,5008,5005,8300,8200,8214,8226,8345,8347,"[111, 145, 61, 56, 11]",4,15528,"['Mage', 'Marksman']",Mana,550,119,320,40.0,335,22,5.0,30,1.3,525,7.0,0.75,8.0,0.8,0,0,52,3.5,6.0,0.625,6,3,8,9
2,100,4VEvySf16YpLrPM0Got9pDtHwdyDZ8YFm2eqm7-jg55-7w,223,False,5002,5003,5007,8300,8400,8465,8463,8345,8410,"[111, 145, 61, 56, 11]",6,37840,"['Support', 'Tank']",Mana,640,103,325,50.0,335,42,4.7,32,2.05,175,6.5,0.55,8.0,1.0,0,0,56,3.2,2.5,0.658,3,9,6,5
3,100,PptymFjTCGah3jU37HXYuaz-jfW1Zy9jEDTc-93yhMWQeqhSjZM53epqHA,5,False,5002,5008,5005,8300,8000,8010,9111,8304,8347,"[111, 145, 61, 56, 11]",5,334038,"['Fighter', 'Assassin']",Mana,640,106,274,55.0,345,35,4.7,32,2.05,175,8.0,0.7,7.25,0.45,0,0,63,3.0,3.5,0.645,8,6,3,2
4,100,uMOsHDsqu-UJxxqUWIFXXdYYFX-7Hz6bmPoyyy19CMGvIfk,222,False,5002,5008,5005,8300,8000,8008,8009,8345,8304,"[111, 145, 61, 56, 11]",5,23397,['Marksman'],Mana,630,100,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,0,0,59,3.15,1.0,0.625,9,2,4,6
5,200,kNoaXcCdE66Y6_6JkvoMoqd2Fbv9jXfzR01-xsPTjwiVxfb62qCKQfOPeA,111,True,5002,5002,5007,8300,8400,8439,8401,8345,8347,"[19, 268, 223, 5, 222]",3,6730,"['Tank', 'Support']",Mana,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,0,0,61,3.3,1.0,0.706,4,6,6,6
6,200,UvjwAKHvO8cznsf6Rpxz8PPWyhQ9bg5Td_a6fCQWk20,145,True,5002,5008,5005,8300,8100,9923,8139,8304,8345,"[19, 268, 223, 5, 222]",5,69060,['Marksman'],Mana,670,102,345,40.0,335,28,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,8,5,3,6
7,200,UbiqNlq8WYxnTbP-INdzIa1XzXDDTygKMk12t_eE3fJKVLQ,61,True,5002,5008,5005,8300,8200,8214,8226,8345,8352,"[19, 268, 223, 5, 222]",2,4399,"['Mage', 'Support']",Mana,600,105,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,0,0,40,2.6,3.5,0.658,4,3,9,7
8,200,ywFL6fe3PGPCz58Ztn4uQHgo_ALDGm1cqkfLCV8_cy8F,56,True,5002,5008,5005,8300,8000,8008,9111,8345,8352,"[19, 268, 223, 5, 222]",7,95230,"['Assassin', 'Fighter']",Mana,655,109,275,35.0,345,38,4.7,32,1.55,125,7.0,0.75,7.0,0.45,0,0,62,2.6,2.7,0.721,9,5,2,4
9,200,79uMkn6ZXSCwEP9h7I7jGPAG1cXtioMnPeWYcMHdbSd4,11,True,5002,5008,5005,8000,8100,9923,8143,9111,9104,"[19, 268, 223, 5, 222]",4,13114,"['Assassin', 'Fighter']",Mana,669,100,251,42.0,355,33,4.2,32,2.05,175,7.5,0.65,7.25,0.45,0,0,65,2.2,2.0,0.679,10,4,2,4
0,100,_Pd6eA-Hpb-eCV7U68nubClhO4P1iCLKMo4uxoNw77GY,92,False,5002,5008,5007,8200,8000,8010,9111,8275,8210,"[106, 64, 23, 523, 25]",4,19292,"['Fighter', 'Assassin']",None,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,0,0,64,3.0,3.5,0.625,8,5,1,8
1,100,T_v3GLf0O7_EyZNUEiXhjX46xrHrHvsOIiI197_dpNI,238,False,5002,5008,5005,8000,8100,8112,8143,9111,9105,"[106, 64, 23, 523, 25]",4,17169,['Assassin'],Energy,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,0,0,63,3.4,3.3,0.651,9,2,1,7
2,100,93uxIhcd4MB5Znx5PRcMBV6bFNfbJXgsFEH6e5_KMVn6,8,False,5002,5008,5008,8100,8200,8230,8275,8139,8135,"[106, 64, 23, 523, 25]",7,577794,['Mage'],Crimson Rush,607,110,2,0.0,330,27,4.5,30,1.3,450,7.0,0.6,0.0,0.0,0,0,55,3.0,2.0,0.658,2,6,8,7
3,100,b-Kbudo-emj2oc7OXzlHEIX7A2Gs1Ow9lw8A3z8NIOGp,63,False,5002,5008,5008,8200,8100,8128,8139,8226,8210,"[106, 64, 23, 523, 25]",5,25103,['Mage'],Mana,590,102,469,21.0,340,22,4.7,30,1.3,550,5.5,0.55,10.65,0.6,0,0,57,3.0,1.36,0.625,2,2,9,4
4,100,t4837ZaL_vU52426eTy1b7MwcbGXFL6d9-hISC01LfMwApQ,99,False,5002,5008,5008,8300,8200,8229,8226,8313,8345,"[106, 64, 23, 523, 25]",5,51034,"['Mage', 'Support']",Mana,560,99,480,23.5,330,19,5.2,30,1.3,550,5.5,0.55,8.0,0.8,0,0,54,3.3,2.0,0.669,2,4,9,5
