index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,TJUt-8y6fQ-pAIUoBGrhoJFC7YCUQHir7zsCCKt641hm,81,True,5002,5008,5005,8100,8000,8021,8009,8143,8135,"[21, 106, 92, 35, 555]",6,105924,"['Marksman', 'Mage']",Mana,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,0,0,62,2.5,2.5,0.625,7,2,6,7
1,100,atXNqbm7cc-ciV6WUTUk2_5qbvtlMvnsfyAaEpZvJRKNbw,39,True,5003,5003,5005,8400,8000,8010,9111,8444,8242,"[21, 106, 92, 35, 555]",5,22667,"['Fighter', 'Assassin']",Mana,590,124,350,50.0,335,36,4.7,30,2.05,200,8.5,0.85,8.0,0.8,0,0,65,4.0,2.5,0.656,7,4,5,5
2,100,8wqY5IjnG-IMBMPUlQc-GItY4l1Htq-hVFJlX_cE3W9jVJ_iGS3VYTiKIQ,412,True,5002,5008,5008,8300,8400,8465,8463,8345,8347,"[21, 106, 92, 35, 555]",3,12046,"['Support', 'Fighter']",Mana,600,120,274,44.0,330,28,0.0,30,1.3,450,7.0,0.55,6.0,0.8,0,0,56,2.2,3.5,0.625,5,6,6,7
3,100,GmlU48Vr6olKOK4f1HgT2XTadxhbIQmNMaB0p_LDehVhOw,33,True,5001,5008,5008,8200,8400,8439,8401,8275,8234,"[21, 106, 92, 35, 555]",5,31631,"['Tank', 'Fighter']",Mana,675,94,310,33.0,335,40,5.5,32,2.05,125,8.0,0.55,7.85,0.5,0,0,55,2.75,2.215,0.656,4,10,5,5
4,100,20J3KJV1fHp7RG8fusfoQLPIOs7VpC_vNCEpLkKYmeKsgA,166,True,5002,5008,5005,8100,8000,8005,9111,8139,8106,"[21, 106, 92, 35, 555]",5,53908,"['Marksman', 'Assassin']",Mana,630,104,350,40.0,330,26,4.2,30,1.3,500,3.75,0.65,8.2,0.7,0,0,52,3.5,4.0,0.638,0,0,0,0
5,200,mOxKRZAGw0bbfP5lBFN96NWj5ooH9hiDNWhEAau9h4N-ctY,21,False,5002,5008,5005,8300,8200,8229,8226,8304,8345,"[81, 39, 412, 33, 166]",7,482547,['Marksman'],Mana,640,103,300,40.0,325,28,4.2,30,1.3,550,3.75,0.65,8.0,0.8,0,0,52,2.4,3.0,0.656,8,2,5,1
6,200,0Hb8zoCriCPpV8DZ1BM0w2X4nNoGCIJFLfqSsYHX5ytcG5M,106,False,5002,5008,5005,8400,8000,8005,9111,8446,8473,"[81, 39, 412, 33, 166]",7,74126,"['Fighter', 'Tank']",Mana,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,0,0,60,3.5,2.0,0.625,7,7,4,3
7,200,mPQdOSj1DHsfSHVT1e1cflO-EN1GM0RbR7iEbsysGRc1AQ,92,False,5002,5008,5008,8400,8000,8010,9111,8473,8453,"[81, 39, 412, 33, 166]",7,446778,"['Fighter', 'Assassin']",None,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,0,0,64,3.0,3.5,0.625,8,5,1,8
8,200,Y3F-2OBksNw1yX79NY_jgblFFofrqW8o4pF4pOw03fkM-eU,35,False,5003,5002,5008,8100,8200,8229,8226,8138,8139,"[81, 39, 412, 33, 166]",7,501661,['Assassin'],Mana,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,7.15,0.45,0,0,63,3.0,3.0,0.694,8,4,6,9
9,200,_QWXEVMSS4qup291JqMuZz-NIeWuS1Vu-H6Zqty1Fr0n9lc,555,False,5002,5008,5008,8000,8300,8351,8304,8009,8014,"[81, 39, 412, 33, 166]",7,89446,"['Support', 'Assassin']",Mana,670,104,415,50.0,330,45,4.7,32,2.05,150,7.0,0.5,8.0,1.0,0,0,62,2.0,2.5,0.667,9,3,1,7
0,100,vZCkJYc7DbGualP22qhtgNEIEqnh9v_MJ6e7gDrKaCTWmA,86,True,5002,5008,5005,8200,8000,8010,9111,8275,8237,"[887, 33, 92, 21, 555]",5,146861,"['Fighter', 'Tank']",None,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,0,0,69,4.5,3.65,0.625,7,7,1,5
1,100,VAbaaU_R_2xyUczSuLIT-hp0ycIi-KgrEextGlNgP50e,9,True,5003,5008,5008,8300,8100,8128,8126,8321,8347,"[887, 33, 92, 21, 555]",7,109058,"['Mage', 'Support']",Mana,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,0,0,55,2.65,2.11,0.625,2,3,9,9
