index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,JK6Pb8w-YIgdWRGICkBW-d1yMPovlwGx_tTceqRwtT6b29o,86,False,5002,5008,5008,8400,8000,8005,9111,8444,8451,"[266, 48, 13, 222, 85]",5,34647,"['Fighter', 'Tank']",None,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,0,0,69,4.5,3.65,0.625,7,7,1,5
1,100,mPQdOSj1DHsfSHVT1e1cflO-EN1GM0RbR7iEbsysGRc1AQ,254,False,5002,5008,5005,8000,8100,9923,8143,9111,9104,"[266, 48, 13, 222, 85]",7,140160,"['Fighter', 'Assassin']",Mana,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,0,0,63,3.0,2.0,0.644,8,5,3,4
2,100,Y3F-2OBksNw1yX79NY_jgblFFofrqW8o4pF4pOw03fkM-eU,74,False,5003,5008,5008,8100,8200,8229,8226,8139,8135,"[266, 48, 13, 222, 85]",7,375054,"['Mage', 'Support']",Mana,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,0,0,56,2.7,1.36,0.625,2,6,8,8
3,100,KDQkNxEuwPRcMECSTRZJ7JmiogLpOHIx2JmCz9ArS0O7lA,22,False,5002,5008,5005,8300,8100,9923,8126,8410,8313,"[266, 48, 13, 222, 85]",7,69776,"['Marksman', 'Support']",Mana,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,2.95,3.33,0.658,7,3,2,4
4,100,uWFRlBr0KWZHQRaj3bxqgpHpf9ty72QIZyMM8L_Du-y5,432,False,5002,5003,5008,8300,8200,8229,8224,8345,8352,"[266, 48, 13, 222, 85]",4,14549,"['Support', 'Mage']",Mana,630,103,350,50.0,330,34,5.2,30,1.3,500,5.5,0.55,6.0,0.45,0,0,52,3.0,2.0,0.625,4,4,5,9
5,200,Z4d-DpHNg0wvNpUln36se0I_fMk6ppZl7csP-WrGYyzA,266,True,5002,5008,5007,8100,8000,8010,9111,8106,8143,"[86, 254, 74, 22, 432]",7,1057981,"['Fighter', 'Tank']",Blood Well,650,114,0,0.0,345,38,4.45,32,2.05,175,3.0,1.0,0.0,0.0,0,0,60,5.0,2.5,0.651,8,4,3,4
6,200,C8YneCclKozyUsuq3Q3TQSyVjbi99ACpE2XuZzWW_UZS,48,True,5002,5008,5005,8300,8000,8008,9111,8304,8410,"[86, 254, 74, 22, 432]",2,1976,"['Fighter', 'Tank']",Mana,686,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,0,0,68,3.0,2.9,0.67,7,6,2,5
7,200,MJ0prnB8XT_vUtW5g6qtlnEZaS1DEAyIuZwr-HFUTNZqiw,13,True,5002,5008,5005,8300,8200,8230,8226,8345,8352,"[86, 254, 74, 22, 432]",7,84241,"['Mage', 'Fighter']",Mana,645,124,300,70.0,340,22,4.2,32,1.3,550,8.0,0.8,8.0,1.0,0,0,58,3.0,2.11,0.625,2,2,10,7
8,200,cdqphbaNcSqiHPIB48JUKThxOXzfyDpvKc7hGBcr4AycvCA,222,True,5002,5008,5005,8100,8000,8008,8009,8139,8135,"[86, 254, 74, 22, 432]",6,108283,['Marksman'],Mana,630,100,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,0,0,59,3.15,1.0,0.625,9,2,4,6
9,200,lFmDfgTbRuR-MSJZaNjAmeAs7NTk_Ayoo2XZ-ZZ6MznO,85,True,5003,5008,5005,8200,8100,8128,8139,8233,8237,"[86, 254, 74, 22, 432]",6,36362,"['Mage', 'Marksman']",Energy,611,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,0,0,48,3.75,3.4,0.625,6,4,7,4
