index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,Lhdml6StgmOzBAge_T7gkMJsaHr9SpUXPtClL2YeU4475jI,887,True,5002,5008,5005,8400,8000,8010,8009,8473,8453,"[83, 77, 34, 18, 111]",5,36040,"['Fighter', 'Assassin']",Mana,620,109,330,40.0,340,39,5.2,32,2.05,150,8.5,0.9,7.5,0.7,0,0,63,3.0,2.25,0.69,7,4,5,5
1,100,n6bKXtSwXIt92IKqrNLHJGG7-cvpuHturvE7IVkuKBYhPCQ,11,True,5002,5008,5005,8100,8200,8229,8275,8135,8126,"[83, 77, 34, 18, 111]",7,67732,"['Assassin', 'Fighter']",Mana,669,100,251,42.0,355,33,4.2,32,2.05,175,7.5,0.65,7.25,0.45,0,0,65,2.2,2.0,0.679,10,4,2,4
2,100,3edUFNasfMeROZrm0Mt0Pz6p3XbztILz81Qi2HWyTgQZrGw,103,True,5003,5008,5005,8200,8100,8112,8139,8226,8210,"[83, 77, 34, 18, 111]",7,150723,"['Mage', 'Assassin']",Mana,590,96,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.0,0.668,3,4,8,5
3,100,bWJTkp_tIKTh6e1WT7wpmr7BEclmBfhcZlZ-mboqReY0,145,True,5002,5008,5005,8300,8000,8005,9111,8304,8345,"[83, 77, 34, 18, 111]",3,7489,['Marksman'],Mana,670,102,345,40.0,335,28,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,8,5,3,6
4,100,2WasUeMGC-scULegZVFcpOz27QR4cp599iBaYRnqczx5oMY,497,True,5002,5008,5008,8300,8400,8465,8446,8345,8347,"[83, 77, 34, 18, 111]",7,35899,['Support'],Mana,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,0,0,62,3.5,3.0,0.635,2,4,8,5
5,200,vNa3mzekZOwz-PAfcSOiH5-VviSH7dfJ-mZ0iV0XKOnUcg,83,False,5002,5003,5008,8300,8400,8437,8446,8304,8345,"[887, 11, 103, 145, 497]",7,702799,"['Fighter', 'Tank']",Mana,650,114,300,60.0,340,39,5.2,32,2.05,175,8.0,0.8,7.5,0.75,0,0,62,5.0,2.0,0.625,6,6,4,6
6,200,__JH9ZFVEULrU6WVrFf_AAHyowYD7nIZja8v-rtW2NMPaw,77,False,5002,5002,5008,8400,8000,8010,9111,8463,8473,"[887, 11, 103, 145, 497]",5,31023,"['Fighter', 'Tank']",Mana,664,92,271,50.0,350,31,4.7,32,2.05,125,6.0,0.75,7.5,0.45,0,0,62,4.0,3.0,0.65,8,7,4,7
7,200,4e_0iCZ6FjXydeJET3B8OnFyYr6dY3k9xsVnD_8pn4tZlAw,34,False,5003,5008,5008,8000,8100,8112,8126,8009,8014,"[887, 11, 103, 145, 497]",5,398292,"['Mage', 'Support']",Mana,550,92,495,45.0,325,21,4.9,30,1.3,600,5.5,0.55,8.0,0.8,0,0,51,3.2,1.68,0.625,1,4,10,10
8,200,m504yiSori0EulPcViIknbnDDQMhuKX6oYRoLvde0Ud7jYA,18,False,5002,5008,5005,8000,8100,9923,8139,8009,9103,"[887, 11, 103, 145, 497]",3,7047,"['Marksman', 'Assassin']",Mana,670,102,250,32.0,325,26,4.2,30,1.3,525,4.0,0.65,7.2,0.45,0,0,59,3.7,1.5,0.656,9,3,5,4
9,200,rKD7PspBPvgaHhUr6xrifLitSdgt_SevYh5NiXxWqJh5xpE,111,False,5003,5002,5008,8300,8400,8465,8463,8345,8306,"[887, 11, 103, 145, 497]",4,15584,"['Tank', 'Support']",Mana,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,0,0,61,3.3,1.0,0.706,4,6,6,6
0,100,rDu5IGfKVneU2uCb_UegE1dck0Whv4qELkciNU2sqIEqbvo,23,False,5002,5008,5005,8400,8000,8008,9111,8444,8242,"[887, 32, 103, 166, 555]",7,167110,"['Fighter', 'Assassin']",Fury,696,115,100,0.0,345,33,4.3,32,2.05,125,8.5,0.9,0.0,0.0,0,0,72,4.0,2.9,0.67,10,5,2,5
1,100,pCx-5MMHTPrfHM7BHoD_KHj73zK1cBYIiRjhMvTLxCN3ngk1yH6sznaeyA,104,False,5002,5008,5005,8000,8100,8128,8143,9111,9104,"[887, 32, 103, 166, 555]",5,127202,['Marksman'],Mana,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,0,0,68,4.0,2.6,0.475,8,5,3,3
2,100,Yzan0fWRBRHiRucs6BVeV7pYjH04-PMRak3foH7ZOLueE1g,245,False,5003,5008,5008,8200,8100,8112,8143,8233,8236,"[887, 32, 103, 166, 555]",3,8779,"['Assassin', 'Fighter']",Mana,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,0,0,58,3.0,3.3,0.688,5,3,7,8
3,100,Cb9MtG8pazBS9Eivy0wnCt9Vm3o9v_mbVeEDeGNFs0rbaQ,202,False,5002,5008,5008,8000,8100,8128,8139,9103,8009,"[887, 32, 103, 166, 555]",7,82682,"['Marksman', 'Mage']",Mana,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,0,0,59,4.7,0.0,0.625,10,2,6,6
4,100,lvNWZu-x4DJpUEztOfiwny6GPhwUuDsCOj7hzPIH0aHuY1o,350,False,5003,5008,5007,8000,8200,8214,8226,8009,8017,"[887, 32, 103, 166, 555]",7,124917,"['Support', 'Mage']",Mana,500,69,440,45.0,330,25,4.2,25,1.1,425,5.0,0.55,10.0,0.4,0,0,49,3.1,1.0,0.625,5,1,8,2
5,200,Lhdml6StgmOzBAge_T7gkMJsaHr9SpUXPtClL2YeU4475jI,887,True,5002,5008,5005,8400,8000,8010,8009,8473,8453,"[23, 104, 245, 202, 350]",5,36040,"['Fighter', 'Assassin']",Mana,620,109,330,40.0,340,39,5.2,32,2.05,150,8.5,0.9,7.5,0.7,0,0,63,3.0,2.25,0.69,7,4,5,5
6,200,ZH6HhOMo3sWs_Zk2JtirEdanffxDARHmMBrPU8A7rR617w,32,True,5002,5008,5005,8400,8000,8010,9111,8429,8242,"[23, 104, 245, 202, 350]",7,332227,"['Tank', 'Mage']",Mana,685,94,285,40.0,335,30,4.0,32,2.05,125,9.0,0.85,7.4,0.55,0,0,53,3.8,2.18,0.736,2,6,8,3
7,200,3edUFNasfMeROZrm0Mt0Pz6p3XbztILz81Qi2HWyTgQZrGw,103,True,5003,5008,5005,8200,8100,8112,8139,8226,8210,"[23, 104, 245, 202, 350]",7,150723,"['Mage', 'Assassin']",Mana,590,96,418,25.0,330,21,4.7,30,1.3,550,2.5,0.6,8.0,0.8,0,0,53,3.0,2.0,0.668,3,4,8,5
8,200,aNXZheadH0_1VsO7yT5_eut8EoRrGajdHFMecmztqA7Eybo,166,True,5002,5008,5005,8400,8000,8005,8009,8401,8473,"[23, 104, 245, 202, 350]",6,23141,"['Marksman', 'Assassin']",Mana,630,104,350,40.0,330,26,4.2,30,1.3,500,3.75,0.65,8.2,0.7,0,0,52,3.5,4.0,0.638,0,0,0,0
9,200,aoXKUJmQybqHLqTfPo4D0jPxOwfi1YR6ZPxGLN-9XQCbyBU,555,True,5002,5008,5008,8400,8100,9923,8126,8473,8242,"[23, 104, 245, 202, 350]",7,148214,"['Support', 'Assassin']",Mana,670,104,415,50.0,330,45,4.7,32,2.05,150,7.0,0.5,8.0,1.0,0,0,62,2.0,2.5,0.667,9,3,1,7
