index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,bD85y89ek2lmOdjaMLQdHTBs6_fX_1Mlp93TVn1uvXil6w,114,True,5002,5008,5008,8100,8000,8010,9111,8139,8135,"[122, 64, 61, 15, 235]",7,427906,"['Fighter', 'Assassin']",Mana,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,0,0,68,3.3,3.2,0.69,10,4,2,3
1,100,nQOt_Dwj0MRYQJhGEb9aiixOqGhWxa0Zmzq7oaYZsj_V8qA,104,True,5002,5008,5005,8000,8200,8230,8275,9111,9104,"[122, 64, 61, 15, 235]",5,43896,['Marksman'],Mana,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,0,0,68,4.0,2.6,0.475,8,5,3,3
2,100,EaqaEij1sqjOKRcamgcV-YbNTcKzWSPe7tWLPai8kb7ejg,7,True,5003,5008,5005,8200,8100,8112,8139,8210,8226,"[122, 64, 61, 15, 235]",6,49555,"['Assassin', 'Mage']",Mana,598,111,400,55.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,1.0,0,0,55,3.5,1.4,0.625,1,4,10,9
3,100,uGhd_7XG6LsHAWk1AsQGtjPPJ8YbVZEfHN8uHBK42GGx,21,True,5002,5008,5005,8100,8000,8005,9111,8143,8135,"[122, 64, 61, 15, 235]",7,82066,['Marksman'],Mana,640,103,300,40.0,325,28,4.2,30,1.3,550,3.75,0.65,8.0,0.8,0,0,52,2.4,3.0,0.656,8,2,5,1
4,100,eMpBmmUvVMu2mJIQPWUEPLYZb1YUjNwyOQYly-R4ycpWNQ,25,True,5001,5003,5007,8400,8200,8214,8226,8446,8473,"[122, 64, 61, 15, 235]",7,2204839,"['Mage', 'Support']",Mana,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,0,0,56,3.5,1.53,0.625,1,6,8,1
5,200,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,122,False,5002,5008,5005,8400,8000,8010,9111,8451,8446,"[114, 104, 7, 21, 25]",7,600267,"['Fighter', 'Tank']",Mana,652,114,263,58.0,340,39,5.2,32,2.05,175,10.0,0.95,6.6,0.35,0,0,64,5.0,1.0,0.625,9,5,1,2
6,200,0r_itEgIGeMjGT_RoFzas7OsppTWJvvMV3Pq-RanfpctuFg,64,False,5002,5008,5005,8400,8000,8010,9111,8473,8453,"[114, 104, 7, 21, 25]",7,236436,"['Fighter', 'Assassin']",Energy,645,105,200,0.0,345,34,4.9,32,2.05,125,7.5,0.7,50.0,0.0,0,0,66,3.7,3.0,0.651,8,5,3,6
7,200,hLR_waDqQ25CXlxMRu0BDnZGKqCxWz2qmh2_kKhO_DbWyg,61,False,5003,5008,5005,8300,8200,8230,8226,8345,8352,"[114, 104, 7, 21, 25]",2,5565,"['Mage', 'Support']",Mana,600,105,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,0,0,40,2.6,3.5,0.658,4,3,9,7
8,200,FWUje8ZBBmRIFOF-14LRaNCYd9qgmuPd89DXxPvunq0Q_g,15,False,5002,5008,5005,8300,8000,8008,8009,8304,8347,"[114, 104, 7, 21, 25]",6,45968,['Marksman'],Mana,600,104,340,45.0,335,26,4.45,30,1.3,500,3.25,0.55,6.0,0.8,0,0,58,2.5,2.0,0.625,9,3,1,4
9,200,_AtBJgZ0uVJxz10xrL0_4-nRsuwwLlGTHG-gFk2xAsdJ,235,False,5002,5002,5007,8000,8400,8437,8463,9111,8014,"[114, 104, 7, 21, 25]",7,115769,"['Marksman', 'Support']",Mana,530,89,350,45.0,330,28,4.7,30,1.3,600,3.5,0.55,11.5,0.7,0,0,50,0.0,4.0,0.625,7,2,6,7
0,100,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,36,True,5002,5008,5005,8400,8000,8010,9111,8451,8446,"[84, 48, 421, 81, 99]",4,17262,"['Fighter', 'Tank']",None,613,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,0,0,61,2.5,3.3,0.67,5,7,6,5
1,100,w6HBfN0H9Fomoyl0ZnApJpm4RjrDoHd5iFEYwK3M7i8Ezw,254,True,5002,5008,5005,8000,8100,9923,8143,9111,9104,"[84, 48, 421, 81, 99]",7,278252,"['Fighter', 'Assassin']",Mana,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,0,0,63,3.0,2.0,0.644,8,5,3,4
2,100,BCH37Fztmx2VP6HEvIHV-bzcdwFYzP6q6iMXRLH6KbZLaA,517,True,5003,5008,5008,8300,8000,8010,8009,8347,8345,"[84, 48, 421, 81, 99]",7,67138,"['Mage', 'Assassin']",Mana,575,129,310,70.0,340,27,5.2,32,2.55,175,9.0,0.9,8.0,0.8,0,0,61,3.0,3.5,0.645,3,4,8,5
3,100,1DwgSD5h3AD4k7E_dGYZprHQpUN58SKEi3f5NfdA7R5WnA,145,True,5002,5008,5005,8300,8100,9923,8139,8345,8304,"[84, 48, 421, 81, 99]",5,26938,['Marksman'],Mana,670,102,345,40.0,335,28,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,8,5,3,6
4,100,_AtBJgZ0uVJxz10xrL0_4-nRsuwwLlGTHG-gFk2xAsdJ,147,True,5002,5008,5007,8300,8200,8214,8226,8347,8304,"[84, 48, 421, 81, 99]",5,32696,"['Mage', 'Support']",Mana,570,104,440,40.0,325,19,4.2,30,1.3,525,6.5,0.6,8.0,1.0,0,0,55,3.0,1.0,0.669,0,0,0,0
5,200,0Gq-jzly2gtkpwf2J6b1J-j9MTt3g4ZL_gP4nITFnyDD12oYZnJz-v3JIA,84,False,5002,5008,5008,8100,8000,8010,8009,8139,8135,"[36, 254, 517, 145, 147]",6,72673,['Assassin'],Energy,570,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,0,0,62,3.3,3.2,0.625,5,3,8,7
6,200,rik7Z1i2nPDUpGtGMkkx6FWqyO13iRB1CBee9pjOIl2wHIdMBlTJiaC_jg,48,False,5002,5008,5005,8200,8000,8005,9111,8234,8232,"[36, 254, 517, 145, 147]",6,96348,"['Fighter', 'Tank']",Mana,686,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,0,0,68,3.0,2.9,0.67,7,6,2,5
7,200,293KZY3OIgyg5ZZtyKawrXfx8lo_RZGTzY2KgtoDh1rs7jw,421,False,5003,5008,5005,8000,8100,9923,8139,9104,8014,"[36, 254, 517, 145, 147]",7,1604188,['Fighter'],Rage,640,99,100,0.0,335,36,4.95,32,2.05,175,7.5,0.65,0.0,0.0,0,0,61,3.0,2.0,0.667,8,5,2,3
8,200,hwf1C7v0czV2FC_437774HlEI4Xp_wRlV2yByddLmBmqaRk,81,False,5002,5008,5005,8200,8000,8010,9111,8226,8210,"[36, 254, 517, 145, 147]",3,6850,"['Marksman', 'Mage']",Mana,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,0,0,62,2.5,2.5,0.625,7,2,6,7
9,200,WU9eAGVojpMl9L9IrNsjxFPSB-31SVGYk2BQQfvFZhrNUco,99,False,5003,5002,5008,8200,8100,8128,8143,8233,8237,"[36, 254, 517, 145, 147]",4,19922,"['Mage', 'Support']",Mana,560,99,480,23.5,330,19,5.2,30,1.3,550,5.5,0.55,8.0,0.8,0,0,54,3.3,2.0,0.669,2,4,9,5
