index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,z_6GuKOM6irYriKFhuCobuYcXC_To5H87ZHL_vUV1Ams2a0,412,False,5001,5008,5008,8000,8400,8437,8446,8014,8009,"[31, 59, 99, 67, 555]",3,6114,"['Support', 'Fighter']",Mana,600,120,274,44.0,330,28,0.0,30,1.3,450,7.0,0.55,6.0,0.8,0,0,56,2.2,3.5,0.625,5,6,6,7
1,100,42O4u8xMSyuFufNSwRrsBRUW2kbJ6TwLqDjC0ndYOs_3vg,104,False,5001,5008,5008,8200,8000,8021,9111,8275,8234,"[31, 59, 99, 67, 555]",6,95727,['Marksman'],Mana,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,0,0,68,4.0,2.6,0.475,8,5,3,3
2,100,whcJd1E-IqR-kd88R4N__lbuia54hprnHymZwkvW8UyrhA,84,False,5003,5008,5008,8200,8100,8112,8143,8224,8232,"[31, 59, 99, 67, 555]",4,15759,['Assassin'],Energy,570,119,200,0.0,345,23,4.7,37,2.05,125,9.0,0.9,50.0,0.0,0,0,62,3.3,3.2,0.625,5,3,8,7
3,100,xHO12qTyKFBFvPcU4nsOClwHrcP6tcK6Ge4Hd4HBpZVMrhg,145,False,5002,5008,5005,8000,8100,9923,8139,9111,9104,"[31, 59, 99, 67, 555]",7,53925,['Marksman'],Mana,670,102,345,40.0,335,28,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,8,5,3,6
4,100,9HnA1Hsx5B1afSaLcILvCrU9XAPG6324V6dRh6BDitlau4g,875,False,5002,5008,5005,8400,8000,8010,9111,8444,8451,"[31, 59, 99, 67, 555]",6,116685,"['Fighter', 'Tank']",Grit,670,114,0,0.0,340,33,5.2,28,2.05,125,7.0,0.5,0.0,0.0,0,0,60,4.0,1.75,0.625,8,5,1,2
5,200,0MURsfb1YeTx3oCkPaKtylY5ntsyK7tfU_fkSGvRfAOVb9g,31,True,5002,5002,5005,8000,8400,8437,8446,9111,9105,"[412, 104, 84, 145, 875]",7,438620,"['Tank', 'Mage']",Mana,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,0,0,69,4.2,1.44,0.625,3,7,7,5
6,200,jFTZYas3pRQy43P7qm0m_0sP9NKm1pwO5vspu8lsX794Tzo,59,True,5002,5008,5005,8300,8000,8010,9111,8304,8347,"[412, 104, 84, 145, 875]",4,18197,"['Tank', 'Fighter']",Mana,640,104,300,55.0,340,36,4.8,32,2.05,175,8.0,0.7,6.5,0.45,0,0,64,3.0,2.5,0.658,6,8,3,5
7,200,3LL-uU0YH1trXdKfqLqPKhGH73XqmAychQJ-lB0--e7HFA,99,True,5003,5002,5007,8400,8200,8229,8226,8473,8453,"[412, 104, 84, 145, 875]",6,64413,"['Mage', 'Support']",Mana,560,99,480,23.5,330,19,5.2,30,1.3,550,5.5,0.55,8.0,0.8,0,0,54,3.3,2.0,0.669,2,4,9,5
8,200,XZjUQyZswNU47MgU-rEDDxwvWarQ6cbJQYiS51VAdxCuKiEsXdH08CiXFA,67,True,5002,5008,5005,8100,8000,8008,9111,8139,8135,"[412, 104, 84, 145, 875]",2,4337,"['Marksman', 'Assassin']",Mana,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,0,0,60,2.35,3.3,0.658,10,1,1,8
9,200,D6fAzkxefH5Mkze4TmcmF_aXO-Fa2Df9JLlfiicen5JkFA,555,True,5002,5008,5008,8400,8100,9923,8126,8473,8242,"[412, 104, 84, 145, 875]",7,180964,"['Support', 'Assassin']",Mana,670,104,415,50.0,330,45,4.7,32,2.05,150,7.0,0.5,8.0,1.0,0,0,62,2.0,2.5,0.667,9,3,1,7
0,100,jdC4mRH5LNGuy5UzEMQOpY5A2pZgMFUHksL9otCWm2hF,27,False,5002,5003,5008,8400,8000,8010,9111,8429,8242,"[79, 234, 131, 67, 57]",7,190371,"['Tank', 'Fighter']",Mana,650,99,330,45.0,345,34,4.7,32,2.05,125,9.5,0.55,7.5,0.55,0,0,63,3.4,1.9,0.613,4,8,7,5
1,100,SfBKHY0I8ws4byLqwA9qGB5Sw1RAqYmRzkikZlgtVpaTbhw,33,False,5002,5002,5005,8000,8400,8439,8463,9111,9104,"[79, 234, 131, 67, 57]",4,13657,"['Tank', 'Fighter']",Mana,675,94,310,33.0,335,40,5.5,32,2.05,125,8.0,0.55,7.85,0.5,0,0,55,2.75,2.215,0.656,4,10,5,5
2,100,8uWM8aNSQM9WYoR6hX6Jnc_nTewrqShrmjm4cFbjx4BseQ,110,False,5002,5008,5005,8200,8100,9923,8139,8233,8236,"[79, 234, 131, 67, 57]",5,31663,"['Marksman', 'Mage']",Mana,600,105,360,40.0,330,27,4.6,30,1.3,575,3.5,0.55,8.0,0.8,0,0,62,3.4,4.0,0.658,7,3,4,2
3,100,ke1p6D2tygvaefNveM2ucbTUaPVOXYkp3cF7cjoIFC6C1qs,45,False,5003,5008,5005,8300,8100,8112,8126,8345,8352,"[79, 234, 131, 67, 57]",5,52539,['Mage'],Mana,550,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,0,0,52,2.7,2.24,0.625,2,2,10,7
4,100,9eGY5FpDT_jRGQOhjMI5DpmGPZJQoZ23Lj6tF9aOi1wsdA,235,False,5002,5008,5005,8300,8000,8021,8009,8345,8410,"[79, 234, 131, 67, 57]",3,9654,"['Marksman', 'Support']",Mana,530,89,350,45.0,330,28,4.7,30,1.3,600,3.5,0.55,11.5,0.7,0,0,50,0.0,4.0,0.625,7,2,6,7
5,200,4zDd41qDacIWiyEkznihViTc6GQIvyAKUe0z6tXLlnH0,79,True,5003,5008,5008,8200,8300,8369,8304,8226,8210,"[27, 33, 110, 45, 235]",6,31892,"['Fighter', 'Mage']",Mana,670,109,400,47.0,330,38,4.8,32,2.05,125,5.5,0.5,6.0,0.8,0,0,64,3.5,2.05,0.675,4,7,6,5
6,200,zjyCQUkvI_08JHdk5Vf9mohvv-lAuETDiYIvz5g9n8f9,234,True,5002,5008,5005,8300,8000,8010,9111,8304,8347,"[27, 33, 110, 45, 235]",4,14566,"['Assassin', 'Fighter']",None,630,109,10000,0.0,345,34,5.2,32,2.05,200,7.0,0.7,0.0,0.0,0,0,57,3.5,2.5,0.658,6,4,2,5
7,200,AMm8hw6XyerZolrrfvESSdTM3lCTxm5ylt8af0x-cc4e,131,True,5002,5008,5005,8300,8000,8010,9111,8304,8347,"[27, 33, 110, 45, 235]",6,78448,"['Fighter', 'Mage']",Mana,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,0,0,57,3.0,2.25,0.625,7,6,8,4
8,200,lcCGBLUapEGl-kjA3Q_AHq526Dfc0gydOC_aBIkMNinwLg,67,True,5002,5008,5005,8100,8000,8008,9111,8139,8135,"[27, 33, 110, 45, 235]",7,771232,"['Marksman', 'Assassin']",Mana,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,0,0,60,2.35,3.3,0.658,10,1,1,8
9,200,jFTZYas3pRQy43P7qm0m_0sP9NKm1pwO5vspu8lsX794Tzo,57,True,5002,5002,5007,8300,8400,8439,8463,8304,8347,"[27, 33, 110, 45, 235]",5,36658,"['Tank', 'Mage']",Mana,635,109,375,43.0,335,39,5.2,32,2.05,125,5.0,0.75,7.2,0.6,0,0,64,3.3,2.125,0.8,3,8,6,3
0,100,1rF2MFo__rhcuRCd5LilbHPYupDoR6MaW1um_t1PEjLyEXs,75,True,5003,5003,5007,8400,8000,8010,9101,8473,8446,"[31, 78, 34, 81, 101]",7,294668,"['Fighter', 'Tank']",Mana,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,0,0,67,3.5,3.48,0.638,7,5,6,6
1,100,x2Cq-dOFcbHyqAoZYPLvOVcTuckBcDinwgjKjfdOMwndU80,154,True,5003,5008,5007,8300,8400,8439,8463,8304,8347,"[31, 78, 34, 81, 101]",2,3315,"['Tank', 'Fighter']",None,685,109,0,0.0,340,33,4.7,32,2.05,175,8.0,0.5,0.0,0.0,0,0,60,3.4,1.6,0.736,3,7,7,8
2,100,XFaWZ6HNC3GjJELPPnr_kkgz1rWzPnNAjbMsuqbhOgXprlM,238,True,5003,5008,5008,8200,8100,8112,8143,8210,8237,"[31, 78, 34, 81, 101]",7,110215,['Assassin'],Energy,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,0,0,63,3.4,3.3,0.651,9,2,1,7
3,100,lcCGBLUapEGl-kjA3Q_AHq526Dfc0gydOC_aBIkMNinwLg,145,True,5002,5008,5005,8300,8000,8008,8009,8304,8345,"[31, 78, 34, 81, 101]",7,219835,['Marksman'],Mana,670,102,345,40.0,335,28,4.2,30,1.3,525,3.5,0.55,8.2,0.7,0,0,59,2.6,1.8,0.644,8,5,3,6
4,100,jFTZYas3pRQy43P7qm0m_0sP9NKm1pwO5vspu8lsX794Tzo,497,True,5003,5002,5007,8100,8400,8465,8463,8136,8105,"[31, 78, 34, 81, 101]",6,31804,['Support'],Mana,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,0,0,62,3.5,3.0,0.635,2,4,8,5
5,200,0-nTVNRUjWRU21hE2qggz0bS6zn-i845nn2AndcooBZ3bw,31,False,5002,5002,5005,8000,8400,8437,8446,9111,9105,"[75, 154, 238, 145, 497]",4,17021,"['Tank', 'Mage']",Mana,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,0,0,69,4.2,1.44,0.625,3,7,7,5
6,200,WJT9tPL-hyr3Ba9OYfH6lt4OACoG3c6_XyeIco4tD6myeg,78,False,5002,5008,5005,8300,8200,8230,8275,8306,8347,"[75, 154, 238, 145, 497]",3,9451,"['Tank', 'Fighter']",Mana,610,104,280,40.0,345,38,4.7,32,2.05,125,8.0,0.8,7.0,0.7,0,0,64,4.0,2.5,0.625,6,7,2,6
7,200,yRQ88YSERKsHiYbFt95OhTUzyjxxYrTnzliVjtE5kVZEOw,34,False,5002,5008,5005,8000,8100,8112,8126,8009,8014,"[75, 154, 238, 145, 497]",4,18977,"['Mage', 'Support']",Mana,550,92,495,45.0,325,21,4.9,30,1.3,600,5.5,0.55,8.0,0.8,0,0,51,3.2,1.68,0.625,1,4,10,10
8,200,WbpUJFN_sL2Ag7YHPNSfTpQVYt3e6CERA0V7dzTa72pTrA,81,False,5002,5008,5005,8200,8300,8369,8313,8226,8210,"[75, 154, 238, 145, 497]",7,327952,"['Marksman', 'Mage']",Mana,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,0,0,62,2.5,2.5,0.625,7,2,6,7
9,200,zLrGEENc_ytHi1Xyn0JLM5-8xmFb9GqDvEpbRKYoQRGqKg,101,False,5002,5008,5005,8000,8100,9923,8143,8014,9105,"[75, 154, 238, 145, 497]",7,457254,['Mage'],Mana,596,106,459,22.0,340,22,4.7,30,1.3,525,5.5,0.55,8.0,0.8,0,0,55,3.0,1.36,0.625,1,3,10,8
0,100,u9rpwaYifBRO3vqd-w424YLJWrBuWfNnqz9ZZs7iaNUM-w,114,True,5002,5008,5005,8400,8000,8010,9111,8473,8242,"[18, 32, 246, 266, 235]",7,49843,"['Fighter', 'Assassin']",Mana,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,0,0,68,3.3,3.2,0.69,10,4,2,3
1,100,mtNnJdshwZjpkt4f-C-5ACcWsWJ_qEHx-6dNUItMC_Dm-w,121,True,5002,5008,5008,8100,8300,8369,8304,8143,8136,"[18, 32, 246, 266, 235]",6,174209,['Assassin'],Mana,643,99,327,40.0,350,36,4.2,32,2.05,125,7.5,0.75,7.59,0.5,0,0,60,3.1,2.7,0.668,9,4,3,6
2,100,PGDiHjDxaJsZZ-GZWUdop9dOTDmhaZCHrW4zszHoZCBLDNw,142,True,5001,5008,5008,8300,8100,8112,8139,8345,8352,"[18, 32, 246, 266, 235]",7,398194,"['Mage', 'Support']",Mana,630,106,425,25.0,340,21,4.7,30,1.3,550,6.5,0.6,8.0,0.65,0,0,58,3.3,2.5,0.625,1,7,8,5
