index,teamId,summonerId,championId,win,perks_defense,perks_flex,perks_offense,subStyle,primaryStyle,primary1perk,primary2perk,sub1perk,sub2perk,enemy_champ_team,championLevel,championPoints,tags,partype,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,attack,defense,magic,difficulty
0,100,tvdDCDIs9K-SjI9eCsO3NMEmeY_AseklL__THKyJBqtCpA,523,True,5002,5008,5005,8100,8000,8010,8009,8139,8135,"[82, 22, 517, 113, 89]",7,63613,['Marksman'],Mana,580,102,348,42.0,325,26,4.2,30,1.3,550,3.25,0.55,6.5,0.4,0,0,55,3.0,2.1,0.64,6,2,1,10
1,100,qfZtGq9ExCKHr2pjGvWI7LYlkOQeYgFvQIOINSTGO-FX_w,412,True,5002,5003,5007,8300,8400,8439,8463,8347,8306,"[82, 22, 517, 113, 89]",6,41425,"['Support', 'Fighter']",Mana,600,120,274,44.0,330,28,0.0,30,1.3,450,7.0,0.55,6.0,0.8,0,0,56,2.2,3.5,0.625,5,6,6,7
2,100,PPLfjUwmfCs-dxtI1JpxDJYoM5FvPzZd0JXD0re2r2FtNQ,55,True,5002,5008,5005,8100,8000,8010,9111,8135,8143,"[82, 22, 517, 113, 89]",7,331210,"['Assassin', 'Mage']",None,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,0,0,58,3.2,2.74,0.658,4,3,9,8
3,100,AivnWFrS4sDtca3iQd8rRfoYicrtTyhI2NLm1N8SC2Ke_LY,54,True,5002,5008,5005,8300,8200,8229,8226,8345,8304,"[82, 22, 517, 113, 89]",4,15406,"['Tank', 'Fighter']",Mana,644,104,280,60.0,335,37,4.95,28,2.05,125,7.0,0.55,7.3,0.55,0,0,62,4.0,3.4,0.736,5,9,7,2
4,100,92GVBLbUvF0bD3ancqtENzzn6ygtUw9Z-tx_BUvdkGcf334,48,True,5002,5008,5005,8200,8000,8005,9111,8234,8232,"[82, 22, 517, 113, 89]",4,20583,"['Fighter', 'Tank']",Mana,686,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,0,0,68,3.0,2.9,0.67,7,6,2,5
5,200,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,82,False,5002,5008,5005,8100,8000,8010,9111,8139,8135,"[523, 412, 55, 54, 48]",7,141444,['Fighter'],Shield,645,104,100,0.0,335,37,4.2,32,2.05,175,5.0,0.75,0.0,0.0,0,0,61,4.0,1.0,0.625,4,6,7,4
6,200,0EdjP2t8I3Li3NCLUEKT5lEJ9DNr9K1WsPchuk8Xpgn2zg,22,False,5002,5008,5005,8100,8000,8008,9111,8139,8135,"[523, 412, 55, 54, 48]",7,68911,"['Marksman', 'Support']",Mana,640,101,280,35.0,325,26,4.6,30,1.3,600,3.5,0.55,7.0,0.65,0,0,59,2.95,3.33,0.658,7,3,2,4
7,200,0nPz7ri619KkdYlJiPSnsVS35NgxoQtJoWH_2wcjYRSLRA,517,False,5002,5008,5008,8300,8000,8010,8009,8345,8347,"[523, 412, 55, 54, 48]",7,78068,"['Mage', 'Assassin']",Mana,575,129,310,70.0,340,27,5.2,32,2.55,175,9.0,0.9,8.0,0.8,0,0,61,3.0,3.5,0.645,3,4,8,5
8,200,500-z1qVQ8GwiEHubwYokUDR5dhy5OSePjRTNBdnm3OK6w,113,False,5002,5003,5007,8100,8400,8437,8463,8126,8106,"[523, 412, 55, 54, 48]",6,74205,"['Tank', 'Fighter']",Mana,630,114,400,40.0,340,34,5.45,32,2.05,150,8.5,1.0,7.0,0.7,0,0,66,4.0,3.5,0.688,5,7,6,4
9,200,PqH_v3UEmxtCpC-VKSPPpxMjfWiTSiN9FozoUwkK44ggxQ,89,False,5002,5002,5007,8100,8400,8465,8401,8126,8106,"[523, 412, 55, 54, 48]",6,34978,"['Tank', 'Support']",Mana,646,101,302,40.0,335,47,4.8,32,2.05,125,8.5,0.85,6.0,0.8,0,0,60,3.0,2.9,0.625,4,8,3,4
0,100,E8FMI6uLtSidK0wh7W25pKCCOTCOynJYxMJzFnDqgNZ7bA,238,False,5003,5003,5008,8000,8100,8112,8143,9111,8014,"[67, 90, 72, 25, 14]",7,578516,['Assassin'],Energy,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,0,0,63,3.4,3.3,0.651,9,2,1,7
1,100,R1s55l14jVObvM0vRmAFSqURyu7F_RoGwzqf6JRRq__x,106,False,5002,5003,5005,8200,8400,8437,8401,8233,8236,"[67, 90, 72, 25, 14]",7,55832,"['Fighter', 'Tank']",Mana,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,0,0,60,3.5,2.0,0.625,7,7,4,3
2,100,1kbgKzU1ETNOnP5O3Co17VMbF4TMUpyuKfMqY_zNvJcbWA,44,False,5002,5008,5008,8000,8400,8465,8463,8009,9105,"[67, 90, 72, 25, 14]",7,78680,"['Support', 'Fighter']",Mana,645,99,300,60.0,340,40,4.6,28,2.05,150,6.0,0.5,8.5,0.8,0,0,55,3.5,2.0,0.625,4,8,5,3
3,100,G7QtUUU-hPho9m5fZV9rwx_BqUnsYcEzUvj01FqaCBhFcA,51,False,5002,5008,5005,8200,8000,8021,8009,8275,8236,"[67, 90, 72, 25, 14]",7,106228,['Marksman'],Mana,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,0,0,60,3.8,4.0,0.681,8,2,2,6
4,100,SKh7XKpHM4I8vzUdhvLAiN_NmzwiMtBQXVb0Md4ryhrSGQ,28,False,5002,5008,5008,8200,8100,8112,8143,8275,8233,"[67, 90, 72, 25, 14]",7,445187,"['Assassin', 'Mage']",Mana,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,0,0,61,3.0,2.1,0.667,4,2,7,10
5,200,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,67,True,5002,5008,5005,8100,8000,8005,9111,8139,8135,"[238, 106, 44, 51, 28]",7,162725,"['Marksman', 'Assassin']",Mana,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,0,0,60,2.35,3.3,0.658,10,1,1,8
6,200,0nPz7ri619KkdYlJiPSnsVS35NgxoQtJoWH_2wcjYRSLRA,90,True,5002,5008,5008,8000,8200,8214,8226,8009,8014,"[238, 106, 44, 51, 28]",7,91139,"['Mage', 'Assassin']",Mana,580,101,375,28.0,335,18,4.7,30,1.3,500,6.0,0.6,8.0,0.8,0,0,55,3.0,1.5,0.625,2,2,9,6
7,200,500-z1qVQ8GwiEHubwYokUDR5dhy5OSePjRTNBdnm3OK6w,72,True,5002,5003,5007,8300,8200,8230,8275,8306,8410,"[238, 106, 44, 51, 28]",5,43471,"['Fighter', 'Tank']",Mana,650,99,320,60.0,335,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,0,0,65,4.5,2.1,0.625,7,6,5,5
8,200,PqH_v3UEmxtCpC-VKSPPpxMjfWiTSiN9FozoUwkK44ggxQ,25,True,5001,5008,5007,8300,8200,8229,8226,8313,8345,"[238, 106, 44, 51, 28]",7,269065,"['Mage', 'Support']",Mana,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,0,0,56,3.5,1.53,0.625,1,6,8,1
9,200,BnWgiVUH935oq8wfRvapYJjfEPal3ubDyxv-xt8QThhasAY,14,True,5002,5003,5007,8100,8400,8437,8446,8126,8106,"[238, 106, 44, 51, 28]",7,110785,"['Tank', 'Fighter']",Mana,655,87,400,52.0,345,32,4.2,32,2.05,175,7.5,0.8,8.0,0.6,0,0,68,4.0,1.3,0.679,5,9,3,5
0,100,TggqaSd2OVVLEGoPfi182gturu5krX57Rc8mOuZRkO1F,412,False,5002,5002,5007,8300,8400,8465,8463,8345,8347,"[202, 166, 25, 50, 98]",7,74202,"['Support', 'Fighter']",Mana,600,120,274,44.0,330,28,0.0,30,1.3,450,7.0,0.55,6.0,0.8,0,0,56,2.2,3.5,0.625,5,6,6,7
