index,assists,baronKills,bountyLevel,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,id_game,inhibitorTakedowns,nexusTakedowns,turretTakedowns,eligibleForProgression,basicPings,allInPings,assistMePings,baitPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings
0,5,0,0,9886,12,126,Jayce,0,0,1623,4585,1623,11719,10,0,0,0,False,False,False,False,False,False,7566,7200,TOP,0,3,3035,6692,3133,3158,0,0,3340,17,0,1,TOP,0,0,1,408,5080,2324,8149,0,0,1,0,0,1,0,55052,9276,11198,4417,m1ez_Pa2LTC1LNTsAf84i3LgzQO4rgmTl-m0xA2ndVVJh-v5tM1ge5tfXyNBvIPKWqiJ2NsIPQTMqg,0,,,SOLO,0,70,30,35,57,4,4,2,12,Ey4x96KhXywEW92AXPv3uqqCuoqTet3leNhCLw4u3K4stg,201,aruonso,False,100,TOP,4,1576,62677,11600,0,19740,1920,0,117,71,300,1,0,2543,0,392,0,11,0,6,0,0,5,False,LA2_1046969177,,,,,,,,,,,,,,,,,,
1,13,0,0,9628,12,64,LeeSin,0,4,0,11498,0,18360,8,4,0,1,False,False,False,False,False,False,8320,8000,JUNGLE,0,3,3047,6630,2031,3071,0,0,3340,21,1,3,JUNGLE,0,2,1,461,17243,975,10891,70,0,1,0,0,2,0,49700,8561,14489,4073,e6czgyjh8zpeDnzJX_WeCqAw48Ysh-bIokud3H6yH3teV0ZgeQCWW9QjP0TQrv1wYoNEZV-KpyRElQ,0,,,NONE,0,167,91,89,7,14,11,5,4,65rjBqcTy9TEmZnFyOy6HEBrsnRIS3-9WC0fZ4gjhoGb,333,Wati Poto,False,100,JUNGLE,12,1576,80002,9641,1057,26212,4555,0,25,272,222,1,0,13059,105,832,0,11,0,32,4,1,13,False,LA2_1046969177,,,,,,,,,,,,,,,,,,
2,4,0,3,11620,14,4,TwistedFate,0,2,388,2565,388,7878,4,0,0,0,False,False,False,False,False,False,11453,10700,MIDDLE,0,3,1056,3111,3094,3165,3191,6656,3340,15,3,8,MIDDLE,154,3,1,435,86781,13727,5759,4,0,1,0,0,3,0,20490,1176,9166,4679,dJLdd2vTtxi5ZvYHhg_loW7KlDw9i7FhdGpUSEHiYdFXMzyF9DykVZ1BfnbSa3wpAWXCKnr0cSAXrg,0,,,SOLO,0,93,84,0,10,4,4,5,14,xP73aKUFV0MXEnJgfGwVOEf_E56iBWHH_aev3tTw6t-DvQ,296,GatoPerdonador,False,100,MIDDLE,29,1576,108450,16082,0,15012,1841,0,128,94,100,1,0,1178,1178,87,0,11,0,9,0,0,6,False,LA2_1046969177,,,,,,,,,,,,,,,,,,
3,6,0,1,9349,12,145,Kaisa,0,2,2188,4644,2188,7614,7,1,0,0,False,False,False,False,False,False,10303,9525,BOTTOM,0,3,6676,6672,3006,3086,1036,1036,3363,24,3,8,BOTTOM,423,2,1,274,10216,4489,4954,0,0,1,0,0,4,0,89854,11028,10059,3839,-NO1tH-Q6h0v8fn-XtCOg9uBWVRx6dT9yGbarC-sIVztIpDMLstr3ImQ6oI5_w1L3ivMnxcJZPid6g,0,,,CARRY,0,61,36,75,3,4,4,5,1,LQ7GsifPncyWe5Hmni42CDyd0X04_PNZUBkegHIHDEEZh3A,104,GRN CurseD,False,100,BOTTOM,0,1576,105991,16960,0,15389,3078,0,155,18,158,1,0,5919,1443,374,1,11,0,8,1,0,7,False,LA2_1046969177,,,,,,,,,,,,,,,,,,
4,12,0,0,8559,11,526,Rell,0,6,1333,2246,1333,19465,8,3,0,0,False,False,False,False,False,False,6866,6650,UTILITY,0,3,3860,2065,2055,3075,0,3158,3364,19,0,2,BOTTOM,1,0,1,383,14310,6681,7896,0,0,1,0,0,5,0,7235,1522,11884,4221,J-Z3bTrOahnW1p8mFmzvG6UWD4YwB0vuf3jn4L51mCO0ZV_fkKfm2w3XooLdC5SelDgw9VaFtTj3aw,0,,,SUPPORT,0,60,31,41,8,8,14,4,4,gwzwQjEHA2sd587KZn8ZaYyH4skVfuw6hbn2JnM03iDc,531,Don Borsegos,False,100,UTILITY,30,1576,28059,9031,0,20149,2951,528,38,51,186,4,0,6513,828,368,0,11,0,27,4,1,13,False,LA2_1046969177,,,,,,,,,,,,,,,,,,
5,8,0,0,12785,14,36,DrMundo,0,3,12110,12110,12110,28977,2,0,1,0,False,False,True,False,False,False,12616,11000,TOP,1,0,1054,3075,6662,3047,3065,1011,3340,20,1,11,TOP,16,11,3,1179,41006,17110,11007,4,1,0,0,0,6,0,71638,8529,15492,3505,UQKPesE4SiB-UC5SGiwmbqnet9Sb1yJxZAKWHwr9JEhMWo9D2CK4hv_NdJQLhU3S-GJt5CUbyhRGmA,0,,,DUO,0,112,16,94,9,2,4,2,12,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,479,GC LDCGOD,False,200,TOP,21,1576,114325,25639,0,27642,8473,0,139,943,55,1,1,1680,0,1143,3,1,0,12,0,0,6,True,LA2_1046969177,,,,,,,,,,,,,,,,,,
6,3,0,0,11379,13,5,XinZhao,0,1,1447,31696,1447,18475,6,1,0,2,False,False,False,False,False,False,11458,11175,JUNGLE,1,0,6692,3111,3091,3153,0,0,3364,17,2,12,JUNGLE,0,6,1,588,15266,1255,5593,105,0,0,0,0,7,0,96665,13562,19399,3496,dXoLjXRY8pIwtC2f0rd4022DubIlo3bIwFscmbmoUtOCxYPodDl-nRLDLLy_4Zx5Xa3QrbLB4U9GKA,0,,,NONE,0,47,94,0,4,6,14,10,11,G7nbn7m4fH4N22YfGGZrqkbVFPAUiYx8lJU5UO2Olidt5g,121,GC Smurf ,False,200,JUNGLE,20,1576,136989,15879,0,25521,13415,0,33,439,204,1,0,25058,1061,528,1,1,0,11,1,2,1,True,LA2_1046969177,,,,,,,,,,,,,,,,,,
7,9,0,1,11468,14,99,Lux,0,5,2822,6045,2822,4698,1,1,0,0,False,False,False,False,False,False,8758,7375,MIDDLE,0,0,3070,6655,3145,1058,3020,0,3340,19,0,2,TOP,0,0,1,1183,77278,11655,3252,0,0,0,0,0,8,0,15381,980,3524,4896,JXOC4KpaBXusPDW3HGbZfJU7MpekMs2C4Jy2aZsmoFlHp1GSPW9f3kdjOfvEXPjv_rwqkBIQX8cIUQ,0,,,DUO,0,67,17,161,13,2,4,2,7,mQ1IS00tuKf0a-9bXfDfJsjSfaVONfKLDA7ZWgvuAdk5dr0,157,Flessco,False,200,MIDDLE,23,1576,103024,12635,1312,7140,1582,240,135,300,39,2,0,10365,0,363,1,1,0,20,1,1,8,True,LA2_1046969177,,,,,,,,,,,,,,,,,,
8,3,0,1,10473,13,22,Ashe,0,1,8127,15945,8127,8209,6,0,0,1,False,True,False,False,False,False,11976,10800,BOTTOM,1,0,3046,3111,6672,1055,3153,0,3340,19,2,10,BOTTOM,316,3,1,374,1745,1345,5700,24,0,0,0,0,9,0,106003,13434,8812,4965,Z-VfV4swMbmTU-3-VNXvpKYB5A76CBDgcaKywwrcq_pfBtYTpHLuWFe6kwpF_aIQCBSEVi7w8DzT_Q,0,,,CARRY,0,30,53,9,8,3,4,3,7,G5iSyErt18e1INR8336JLK07v844pa-8nLkuVpUcqmHkQyo,484,DeadAvocado,False,200,BOTTOM,40,1576,122387,15453,0,15174,1628,450,139,598,157,2,0,14638,673,661,6,1,0,11,0,0,5,True,LA2_1046969177,,,,,,,,,,,,,,,,,,
9,18,0,0,9602,12,412,Thresh,0,7,3487,4741,3487,13463,7,3,0,0,True,False,False,False,False,False,8548,7725,UTILITY,0,0,3860,3190,3075,3117,3066,0,3364,22,0,2,BOTTOM,2,0,1,305,16855,4915,4101,0,0,0,0,0,10,0,7685,1989,9954,4294,IpH_UO7_oX1Fxj2OdRLrdBKIZCyRXzQXT48IWd53hrhcrjtwhUzhM0pdNDxDeIb0zETx0YwIJOKW3A,0,,,SUPPORT,0,39,20,24,2,3,4,3,14,3Qqc5tuZZzRYObTrlGvJGfivVXSD0_ZZm3D9sOhYqtyzTrY,450,Råkån Chiquito,False,200,UTILITY,37,1576,29305,7225,2610,14913,1496,570,40,118,126,5,0,4764,320,857,0,1,0,47,3,6,19,True,LA2_1046969177,,,,,,,,,,,,,,,,,,
