,teamId,spell1Id,spell2Id,championId,profileIconId,summonerName,bot,summonerId,gameCustomizationObjects,perks.perkIds,perks.perkStyle,perks.perkSubStyle
0,100,4,14,99,5736,Foortune,False,55MEpu53V7U8jG3j_umw8AuBPQAGpaj7EA7D75inMfyGxqM,[],"[8229, 8226, 8210, 8237, 8126, 8106, 5008, 5008, 5002]",8200,8100
0,100,4,12,150,4864,M1KE TYS0N,False,FP95A4NcwZsbHYKATDFJpAMv8wzOpyxHxnfkadid94XNeCQ,[],"[8010, 9111, 9104, 8299, 8473, 8451, 5005, 5008, 5003]",8000,8400
0,100,4,14,518,5434,AntonyKiller77,False,VxqE0JuZi21SybY9oHea7IRvliueUMhz4sKn5cTZeCDDS2VN-Kyii8LfSQ,[],"[8112, 8139, 8138, 8135, 8226, 8237, 5005, 5008, 5003]",8100,8200
0,100,4,11,121,5755,PermAcànc3r,False,nU5_o77OIGTyHeMPNLC2mQ1L3khgtloykhzXa4HAuGHwufcm8Cz8dNrqFA,[],"[8369, 8304, 8321, 8347, 8143, 8135, 5008, 5008, 5002]",8300,8100
0,100,7,4,81,11,peneriko123,False,8s9RcWQHEFrV4BjRNloqMVa8I5LCSGknzuzTuCM_cp64YSelM2VvyMo0zQ,[],"[8005, 8009, 9103, 8014, 8345, 8304, 5005, 5008, 5002]",8000,8300
0,200,4,3,143,5840,Ptrick,False,Jzh7TLAzGb2dg5uYZdqUpvUHqTx114WHRb4M19s01oLWGbgS-83k5h-Rng,[],"[8229, 8226, 8210, 8237, 8345, 8347, 5008, 5008, 5002]",8200,8300
0,200,4,11,111,986,GC Crotolamo,False,500-z1qVQ8GwiEHubwYokUDR5dhy5OSePjRTNBdnm3OK6w,[],"[8439, 8401, 8473, 8242, 8345, 8347, 5007, 5002, 5001]",8400,8300
0,200,12,4,126,3501,GC Ca Cdos 601,False,0nPz7ri619KkdYlJiPSnsVS35NgxoQtJoWH_2wcjYRSLRA,[],"[8230, 8226, 8210, 8236, 8009, 8014, 5005, 5008, 5003]",8200,8000
0,200,7,4,22,5031,Magnuskid,False,8HoShGdX3uGMwj5mMr2uLDcnd7etdDMK4o4UX6Ut0Keu,[],"[8008, 9111, 9104, 8014, 8126, 8106, 5005, 5008, 5002]",8000,8100
0,200,4,14,17,5840,Tiburoncionuhaha,False,CtbCzfJHIBPDKOOpTSEbREyrISbmP8F_dXVKVtOxwtHv,[],"[8437, 8446, 8473, 8451, 8126, 8106, 5005, 5008, 5002]",8400,8100
