;teamId;spell1Id;spell2Id;championId;profileIconId;summonerName;bot;summonerId;gameCustomizationObjects;perks.perkIds;perks.perkStyle;perks.perkSubStyle
0;100;4;14;86;1130;Sir Vladimir ;False;rP8a5W6eehGqLQsu2TxwtYLViJYbW9Fs8rL16eXovQrzng;[];[8010, 9111, 9105, 8299, 8446, 8429, 5008, 5008, 5003];8000;8400
0;100;1;4;119;28;nyhzz0k4p;False;ZciDWHMMmWNlssrGlyE2WsKDlaS4OzWuRhngOUKJF_Qu7Q;[];[8008, 9111, 9103, 8299, 8138, 8135, 5005, 5008, 5002];8000;8100
0;100;12;4;517;5637;Consumo Gusto;False;9yfntU8YHnOJF41Zp89ulKrB268LJVJZgwIGJRfi-jH_eNerxO_dGWEAcg;[];[8010, 8009, 9105, 8299, 8444, 8242, 5008, 5008, 5003];8000;8400
0;100;11;4;121;3890;FeVsm;False;kW7hP5-7D6gKZRX6V6CR9aQ56jcLZWg80dpIiUuDlZwRNA;[];[8369, 8304, 8321, 8347, 8143, 8135, 5008, 5008, 5002];8300;8100
0;100;14;4;25;5765;ElMataSuegras;False;-DRkS-LVXdNtAAGSo4cW1UvoKDdW6gHXUqYrzuUo3kC82g;[];[8229, 8226, 8210, 8237, 8345, 8313, 5008, 5008, 5002];8200;8300
0;200;4;14;201;5692;D4Ss;False;VEf_yJg3_meetiOjdgOBEEbtWlWCu7v4jqch6vO0KTgzsA;[];[8465, 8463, 8473, 8242, 8345, 8347, 5005, 5002, 5002];8400;8300
0;200;4;14;99;9;juankalfnm;False;USDDyLfAEiJvsOv2Kyx1Fo3LQHfhh4LY6iobGcQEgUsg8qB-KLrMwiicCQ;[];[8229, 8275, 8210, 8236, 8139, 8138, 5007, 5003, 5001];8200;8100
0;200;4;3;157;3859;GSS;False;nAlHAGXKq1q6gwNuf_E1W4wzDfMB1-aEmH2UwIoPxIQyXw;[];[8008, 9111, 9104, 8014, 8139, 8138, 5005, 5008, 5002];8000;8100
0;200;11;4;203;4661;Warning Peluca;False;OwFqL4r-4sQ4FJUSpZzpmwVzSbCQwAhh4CBWuEIUvGVCdA;[];[8005, 9111, 9104, 8014, 8143, 8135, 5005, 5008, 5002];8000;8100
0;200;4;12;31;4068;ZepeUy;False;Ax97g9AkAbLdooAZNKbMi5XkOBx3BiQyatun2CpcwUY;[];[8437, 8446, 8429, 8451, 9105, 9111, 5005, 5002, 5002];8400;8000
