championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,id,name
122,7,593804,1677453518000,572204,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
67,7,154634,1671409837000,133034,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
11,7,148188,1677302954000,126588,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
19,7,140184,1677725690000,118584,0,True,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
82,7,137023,1669762738000,115423,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
875,7,135659,1677345237000,114059,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
202,7,118722,1677033827000,97122,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
64,7,109015,1676926661000,87415,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
31,7,108538,1677628757000,86938,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
21,7,102110,1676947722000,80510,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
106,7,99178,1677813125000,77578,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
119,7,90277,1676953356000,68677,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
157,7,88709,1670626854000,67109,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
45,7,81729,1653446162000,60129,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
75,7,81219,1656217421000,59619,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
86,7,79090,1670709381000,57490,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
24,7,74043,1676934300000,52443,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
53,7,65741,1669511451000,44141,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
114,7,62351,1655697338000,40751,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
6,7,62051,1641699740000,40451,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
236,7,61417,1676951049000,39817,0,True,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
17,7,58635,1668312721000,37035,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
555,7,58093,1669528125000,36493,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
145,7,55386,1670039385000,33786,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
23,7,53210,1651456577000,31610,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
98,7,52663,1669259002000,31063,0,False,0,K2twAA5gA-gMXY4YVq0szKaX-er9Hlhz8sitMu4lzN00Qw,GC Darius Brando
